cpa,interview_score,CV_score,num_projects,years_experience,KPI
3.01,5.03,5.03,5,11.06,0.46
2.02,3.49,1.22,8,16.92,0.2942
2.9,5.76,3.11,6,17.38,0.4526
2.47,4.73,3.46,10,16.99,0.4389
2.65,6.88,3.9,2,5.56,0.326
2.14,0.72,0.72,0,0.0,0.0
3.47,7.46,3.82,5,15.23,0.5033
3.04,5.35,2.02,2,1.33,0.2069
2.83,5.5,3.28,6,8.98,0.413
3.02,5.71,4.68,4,0.8,0.379
3.38,6.28,4.13,6,18.69,0.598
2.9,3.05,2.05,10,21.08,0.3806
2.9,3.71,3.02,3,5.48,0.3166
2.82,3.27,1.71,4,6.52,0.3208
2.65,3.35,1.28,5,15.46,0.415
2.91,6.22,2.67,6,18.99,0.4717
3.09,5.82,3.12,2,6.78,0.4704
3.1,6.73,4.7,9,13.83,0.6212
2.85,5.19,3.11,2,1.41,0.2412
2.82,7.4,4.63,6,13.24,0.5234
3.07,6.86,5.14,1,3.35,0.3191
3.7,8.04,6.34,2,4.19,0.4942
2.95,6.53,4.65,10,21.23,0.564
3.09,4.73,3.38,1,1.45,0.3256
3.32,8.05,4.95,6,18.4,0.6424
3.25,6.74,4.69,3,2.13,0.3948
2.07,3.05,2.24,1,4.82,0.1432
3.12,7.42,3.78,6,10.05,0.5028
2.31,3.8,2.43,4,7.22,0.2389
2.95,4.77,4.77,4,10.54,0.4289
3.85,6.28,4.16,5,10.28,0.6073
2.76,4.03,2.52,8,11.2,0.4203
2.94,4.69,4.69,4,10.38,0.4228
3.49,8.28,2.78,2,4.31,0.4674
3.73,8.6,4.33,4,11.6,0.5549
2.78,2.06,1.99,1,0.45,0.1497
2.39,4.53,2.54,8,14.75,0.2661
2.88,2.7,2.09,6,16.42,0.4948
3.46,6.08,5.28,11,20.44,0.5805
3.18,6.62,2.74,7,20.7,0.4971
3.88,9.38,9.38,12,19.76,0.8397
3.5,6.6,4.21,3,8.56,0.506
2.29,1.71,2.19,6,16.54,0.32
2.99,6.21,4.14,8,21.89,0.6037
2.8,6.59,3.21,3,3.7,0.3581
3.57,7.84,7.84,8,16.67,0.6992
2.61,6.15,1.8,6,8.28,0.4719
2.36,5.39,2.39,5,8.56,0.274
2.53,3.5,2.19,13,21.78,0.5052
2.17,2.59,1.49,1,4.19,0.1099
2.51,4.52,2.14,3,9.97,0.2879
2.9,4.88,3.49,2,8.68,0.3059
3.23,6.15,6.15,6,13.3,0.5552
3.31,5.77,3.89,5,4.78,0.5103
3.55,6.98,5.03,9,17.07,0.643
3.84,9.22,9.22,7,19.44,0.7976
3.06,5.52,2.93,3,8.13,0.4575
2.79,5.26,2.66,1,3.01,0.2684
2.39,3.81,1.83,4,0.56,0.1435
2.35,3.88,3.16,7,18.25,0.4242
2.77,4.02,2.11,4,0.28,0.2801
3.51,5.55,4.55,3,7.95,0.492
3.17,6.67,4.27,1,4.37,0.4416
2.95,3.58,4.84,3,10.17,0.3552
2.89,7.2,4.33,2,3.33,0.3064
3.54,6.03,5.32,9,15.67,0.5659
3.48,7.74,3.29,1,2.12,0.3372
2.86,2.59,1.68,2,1.15,0.2367
4.0,5.49,5.37,4,9.14,0.6264
3.4,9.27,1.49,4,6.87,0.4501
2.73,3.64,1.76,2,3.8,0.1741
2.32,1.44,1.69,3,2.95,0.1418
3.04,5.19,5.19,6,11.38,0.4817
3.11,5.65,3.49,6,15.5,0.4391
3.86,8.72,4.56,5,7.19,0.6089
3.14,5.33,4.02,4,6.75,0.4163
2.67,5.01,2.89,2,1.39,0.3218
3.58,7.88,7.88,6,16.75,0.6868
2.52,3.91,2.62,1,2.86,0.2517
4.0,10.0,10.0,10,21.0,0.8769
3.1,3.39,3.18,4,6.05,0.2682
2.62,4.98,2.62,5,7.48,0.414
3.37,4.41,3.62,7,15.35,0.5029
3.32,9.0,4.03,2,4.92,0.5279
2.65,4.59,2.25,4,10.28,0.3455
3.05,3.98,3.95,4,9.78,0.4065
3.63,7.85,4.65,5,7.79,0.632
3.46,4.6,5.11,5,14.18,0.5517
2.79,2.09,3.88,3,7.2,0.352
2.93,9.22,5.25,8,15.9,0.5446
2.98,4.14,3.16,4,13.69,0.4829
2.95,5.68,3.17,7,11.17,0.5011
2.54,2.69,2.69,0,0.0,0.0
2.45,2.38,2.04,7,10.07,0.2585
3.3,6.7,4.78,6,15.23,0.5669
3.54,6.6,4.34,11,18.19,0.6865
3.54,9.24,4.78,6,15.46,0.5927
2.93,4.55,2.93,8,19.88,0.5416
2.97,6.88,3.28,1,1.04,0.3409
2.97,4.85,4.85,6,10.7,0.4557
3.39,5.87,4.17,3,6.42,0.4596
3.29,6.02,4.66,1,4.7,0.3945
2.48,3.58,3.65,6,11.95,0.4058
3.74,7.61,4.64,2,1.98,0.4355
2.42,4.25,0.92,1,1.62,0.1788
3.54,8.21,4.27,6,8.86,0.5465
2.16,0.82,0.82,0,0.0,0.0
3.77,7.12,4.45,11,21.29,0.7429
2.43,3.22,1.86,1,2.11,0.1797
3.43,6.86,3.85,10,17.23,0.6317
2.65,4.31,1.93,2,7.24,0.3691
2.77,2.84,3.74,6,9.26,0.3597
3.94,9.7,9.7,11,20.4,0.8593
2.7,4.85,2.24,6,17.05,0.4629
2.96,5.16,3.39,7,18.71,0.425
3.01,2.36,1.65,3,10.28,0.3307
3.17,5.17,2.96,6,11.7,0.4398
2.92,5.62,3.03,5,9.03,0.415
3.4,5.55,5.48,10,18.99,0.626
2.35,3.05,1.51,2,7.98,0.2842
2.61,2.34,1.71,2,4.05,0.1201
2.43,3.26,2.87,1,3.35,0.1212
2.52,5.42,3.41,4,7.92,0.3657
3.31,5.16,2.84,10,16.17,0.3847
2.81,3.12,1.89,4,14.83,0.3532
2.36,3.17,1.65,10,20.95,0.2393
2.83,5.8,3.93,3,8.16,0.3834
3.5,7.88,4.44,4,2.74,0.4858
2.8,3.32,2.52,3,0.89,0.1994
2.93,4.65,4.65,5,10.3,0.4309
2.63,3.15,3.15,0,0.0,0.0088
3.0,5.63,4.59,3,7.28,0.4145
2.84,3.84,2.72,5,10.89,0.3524
3.08,6.46,2.85,4,13.64,0.3747
3.36,6.13,3.92,3,5.61,0.5185
2.43,4.01,3.46,9,18.69,0.3743
3.08,7.01,3.69,4,11.1,0.5173
2.63,2.6,3.13,1,3.71,0.1719
2.68,4.81,2.48,2,5.03,0.3561
2.57,4.25,2.56,5,9.34,0.4118
2.3,2.01,0.74,3,4.65,0.1878
2.3,1.5,1.5,0,0.0,0.0
2.97,3.31,2.67,6,8.86,0.259
3.15,6.5,4.5,8,12.66,0.5826
3.38,7.81,2.91,5,18.44,0.5758
3.81,9.04,9.04,7,19.08,0.7838
3.25,6.37,3.94,3,11.21,0.4507
3.22,7.76,4.46,2,6.25,0.4955
2.66,3.71,2.34,8,18.1,0.4526
3.25,6.54,2.25,4,8.93,0.4853
3.02,5.09,5.09,6,11.18,0.4741
2.62,1.16,1.39,6,15.7,0.3931
2.82,2.49,3.23,10,17.92,0.5322
2.59,4.1,3.17,2,3.13,0.2833
3.0,5.33,4.17,1,1.41,0.3267
3.31,6.57,6.57,7,14.15,0.5956
3.36,7.36,3.93,4,9.72,0.5821
2.65,3.49,3.95,4,13.05,0.36
3.99,9.96,9.96,9,20.92,0.868
4.0,8.39,4.26,3,3.13,0.5284
3.34,6.64,4.53,2,3.57,0.3363
2.5,5.85,2.86,2,3.02,0.1839
2.91,5.05,2.34,2,3.83,0.3594
2.71,2.57,2.52,3,4.87,0.2412
3.47,6.34,4.4,4,0.42,0.4152
2.35,2.04,0.87,5,9.85,0.2075
2.52,2.75,1.95,1,4.88,0.1808
2.63,4.47,2.53,0,0.31,0.0
3.58,6.38,3.65,9,21.62,0.6134
2.73,3.65,3.65,5,8.29,0.3544
3.08,5.36,3.49,10,21.64,0.6243
3.22,6.11,6.11,8,13.22,0.5676
3.28,7.43,5.08,8,21.94,0.6086
2.68,3.81,2.12,13,20.05,0.4295
2.57,2.85,2.85,0,0.0,0.0
2.89,3.84,3.11,7,13.92,0.5366
2.85,5.01,2.75,1,0.37,0.2439
2.65,3.23,3.23,0,0.0,0.0136
3.39,6.97,6.97,9,14.95,0.6399
2.87,2.26,1.9,6,20.18,0.4577
3.09,4.36,1.78,7,20.0,0.5023
2.79,7.39,4.22,6,18.01,0.4655
2.19,1.46,2.17,1,1.82,0.012
2.53,4.58,1.2,6,12.37,0.3248
3.54,8.28,4.58,3,10.17,0.4846
3.92,9.58,9.58,7,20.16,0.8251
2.73,2.21,0.52,10,14.99,0.4219
3.03,6.62,3.41,5,8.13,0.5122
2.8,5.3,3.11,12,20.14,0.6163
2.64,2.84,2.37,3,4.72,0.2342
2.54,4.46,1.8,9,13.71,0.4012
2.71,4.89,1.86,3,0.22,0.2778
2.28,2.08,3.27,8,18.78,0.3378
2.85,4.81,2.58,5,15.06,0.4685
3.07,5.43,2.23,2,5.85,0.3882
3.05,5.23,3.86,2,4.26,0.3595
2.77,5.26,3.24,4,12.38,0.394
3.31,3.54,2.13,3,10.37,0.3073
2.99,6.65,3.7,3,7.45,0.3506
3.42,8.32,5.68,2,6.34,0.4768
3.54,6.13,4.15,7,18.95,0.5251
2.92,3.35,3.36,1,5.03,0.1853
2.0,0.02,0.02,0,0.0,0.0
3.45,4.62,3.58,4,8.35,0.4689
3.39,6.54,5.13,11,21.16,0.7655
2.99,5.74,6.19,5,17.61,0.6235
3.98,7.14,4.14,4,10.45,0.6083
3.63,8.16,8.16,9,17.31,0.7302
2.75,4.65,3.34,2,5.67,0.2086
2.93,6.63,3.38,4,9.26,0.3802
2.63,7.02,3.02,4,7.84,0.4093
2.88,1.75,2.51,5,13.02,0.3151
2.89,4.48,1.93,4,10.16,0.3535
3.02,7.43,5.62,7,17.66,0.6136
3.21,6.92,4.34,1,3.49,0.3677
2.76,1.87,1.23,1,4.88,0.1588
2.93,7.11,1.81,3,9.35,0.4118
2.8,3.44,2.52,8,20.05,0.4274
2.7,4.81,3.41,5,9.13,0.4564
2.15,4.52,2.26,9,18.29,0.2805
2.81,5.67,4.17,5,13.15,0.5517
3.17,5.87,5.87,6,12.74,0.5338
3.15,7.74,1.59,6,14.62,0.523
3.66,5.76,4.32,2,1.84,0.3821
2.96,3.51,3.85,3,9.85,0.4196
2.35,6.26,3.11,2,2.52,0.2242
3.25,7.2,3.5,1,3.61,0.2963
2.75,1.11,3.28,3,8.94,0.3551
2.85,4.52,3.0,11,16.8,0.512
2.49,2.47,2.53,3,9.28,0.4033
2.98,5.63,5.0,8,13.35,0.4118
2.96,4.79,4.79,3,10.58,0.4167
2.88,6.15,3.3,8,15.51,0.5122
2.47,2.36,2.36,0,0.0,0.0
2.43,3.01,1.37,2,2.5,0.1864
3.75,7.51,3.38,5,8.53,0.5002
2.54,2.54,2.75,5,9.92,0.2064
2.73,3.78,3.3,8,15.27,0.4849
2.19,0.96,0.96,0,0.0,0.0
2.42,2.08,2.08,0,0.0,0.0
2.48,4.34,2.84,10,19.01,0.4049
2.02,0.1,0.1,0,0.0,0.0
3.47,6.83,2.83,8,16.75,0.5571
3.19,5.84,4.8,8,19.79,0.5427
2.94,4.35,2.96,11,21.87,0.6749
3.09,5.77,3.33,8,12.14,0.4928
2.58,5.0,3.04,8,13.83,0.4308
3.68,5.08,2.62,2,6.93,0.4303
2.89,6.35,3.09,7,13.13,0.3625
2.83,4.29,3.48,9,17.75,0.4778
2.9,3.83,3.86,2,3.77,0.2205
2.69,3.31,3.93,5,11.89,0.4141
2.42,4.48,2.27,5,5.96,0.2997
3.02,4.09,3.69,4,10.13,0.4019
2.81,5.37,1.78,6,9.97,0.3417
2.96,4.12,2.16,6,15.96,0.4074
2.91,5.74,1.75,5,8.88,0.418
2.96,4.81,5.23,12,19.46,0.5872
3.4,7.38,4.53,4,7.82,0.5436
2.15,5.18,1.68,10,17.76,0.2719
2.86,4.29,4.29,4,9.58,0.3921
3.17,4.35,3.12,3,7.72,0.4115
2.54,2.86,1.48,2,6.76,0.3342
2.92,4.85,4.91,4,8.85,0.3337
2.68,7.75,3.25,9,19.35,0.5138
3.48,6.95,5.7,6,16.37,0.5867
2.48,4.45,1.45,10,18.88,0.4336
2.58,3.33,2.61,9,15.32,0.3692
2.29,4.34,4.17,4,4.1,0.2951
2.67,5.3,1.93,7,18.6,0.4585
2.84,5.87,3.56,5,16.81,0.5564
2.5,4.81,3.62,5,12.35,0.3928
2.79,2.83,3.05,5,7.32,0.3016
2.98,5.82,4.08,3,0.25,0.2914
2.32,3.14,0.93,5,14.55,0.3487
2.87,3.08,3.89,4,14.3,0.4133
2.84,4.4,3.81,10,18.85,0.5175
2.7,2.39,2.48,5,13.49,0.3765
2.71,4.84,2.78,2,2.05,0.2657
2.45,4.29,2.33,1,3.62,0.1665
2.47,4.27,1.95,2,8.36,0.2415
3.21,5.6,3.5,5,7.07,0.2747
2.81,4.23,5.53,6,13.62,0.4271
2.85,6.52,3.78,8,14.95,0.4444
3.39,6.03,4.27,1,1.68,0.3592
3.48,7.39,7.39,6,15.79,0.6501
2.63,3.13,3.13,0,0.0,0.0076
3.75,7.71,5.01,9,19.03,0.6113
3.42,5.3,6.87,7,11.93,0.6032
3.21,4.83,2.91,1,2.32,0.3687
2.8,3.99,3.99,5,8.98,0.3804
3.47,6.51,4.3,8,14.11,0.6443
2.95,4.99,3.54,4,4.48,0.3766
2.13,3.77,1.64,6,20.82,0.4426
4.0,7.38,5.14,10,18.77,0.5608
3.08,5.5,3.56,7,18.75,0.6068
3.56,6.33,4.53,10,19.75,0.6581
3.01,5.06,3.78,1,4.67,0.291
2.86,5.61,4.74,6,15.5,0.4559
3.05,8.29,4.78,8,17.58,0.5974
2.71,4.24,3.05,8,17.22,0.4249
3.17,5.31,1.64,1,4.83,0.2297
2.74,3.64,3.52,4,5.29,0.4132
2.94,5.13,5.54,0,0.27,0.1264
2.99,8.1,4.52,2,6.35,0.3926
3.51,7.9,5.75,4,12.4,0.6115
2.65,4.58,1.14,5,16.26,0.405
2.61,5.46,1.44,2,1.66,0.299
3.11,4.22,4.06,3,3.35,0.3178
3.13,2.4,3.39,4,13.89,0.3321
2.98,4.15,3.33,2,5.87,0.3164
2.28,3.17,1.08,8,20.76,0.3597
3.07,4.95,3.55,10,18.3,0.5211
2.4,4.57,2.4,6,13.01,0.4541
2.7,3.8,2.93,0,0.62,0.0094
2.67,3.35,3.35,0,0.0,0.0208
3.21,3.49,3.17,1,0.45,0.1135
3.2,7.45,4.44,5,13.6,0.5176
2.32,2.8,0.35,3,7.0,0.2578
2.24,3.36,1.84,10,21.95,0.3252
3.28,6.55,3.91,2,7.28,0.5402
3.39,4.79,4.52,7,13.24,0.4347
2.51,4.54,3.1,8,12.51,0.3085
2.57,5.34,1.92,3,5.92,0.1392
2.95,3.61,1.58,1,1.28,0.4013
2.74,3.71,3.71,2,8.41,0.3163
3.03,5.52,3.98,3,9.05,0.4913
3.18,7.16,3.14,5,13.75,0.5577
3.1,4.29,4.03,7,12.92,0.4855
2.79,4.63,3.4,7,11.85,0.4285
3.09,4.28,0.23,1,2.09,0.1731
2.62,3.44,1.99,3,9.72,0.245
2.64,4.19,2.47,8,21.29,0.5365
3.18,4.98,3.4,11,20.04,0.5398
2.36,2.82,0.83,7,13.64,0.2887
3.04,5.41,3.59,3,4.09,0.248
2.65,7.87,5.11,6,16.02,0.4901
3.43,5.17,2.93,5,7.49,0.5402
3.12,4.92,4.28,6,17.14,0.3814
3.41,7.04,6.31,2,9.23,0.6014
3.07,4.03,2.88,2,7.05,0.2402
2.75,2.68,4.18,5,13.22,0.308
2.41,3.75,2.97,6,19.97,0.4887
2.87,7.05,4.54,10,17.64,0.5525
3.62,7.07,4.08,13,21.56,0.7076
3.6,7.76,4.04,6,9.76,0.4733
3.12,5.56,4.1,11,18.71,0.5479
2.83,4.16,3.19,6,9.75,0.2809
3.64,7.92,3.49,5,14.09,0.5735
2.94,4.94,2.67,3,1.14,0.2556
3.08,8.35,5.37,1,3.37,0.4393
2.77,5.85,2.69,3,1.78,0.3434
2.91,3.08,2.69,7,20.63,0.4173
2.75,3.33,2.31,6,13.52,0.3213
2.57,6.29,3.23,3,4.75,0.4021
3.0,7.35,5.95,6,10.46,0.5207
2.96,4.66,1.85,3,9.81,0.345
2.78,4.37,3.92,6,11.99,0.4115
2.8,4.87,1.96,6,15.57,0.4435
2.75,3.73,3.73,2,8.45,0.3178
2.97,4.9,4.66,8,14.52,0.5036
3.06,5.29,5.29,6,11.58,0.4894
3.3,6.83,3.74,6,12.65,0.5924
3.12,6.9,3.57,12,21.05,0.6185
2.81,4.92,3.79,3,8.97,0.3154
2.88,4.31,3.23,7,10.98,0.4267
2.71,4.16,2.6,1,1.59,0.3117
3.67,7.75,5.26,3,4.47,0.6097
2.59,4.67,4.77,6,8.81,0.2962
2.69,5.32,4.81,9,15.08,0.4754
2.87,4.86,3.56,10,18.73,0.4669
2.47,3.67,1.42,11,18.79,0.4229
2.84,3.75,2.11,3,8.96,0.2305
2.65,3.48,1.63,7,12.78,0.3981
2.78,3.57,2.37,2,9.12,0.2516
3.38,6.58,3.36,3,10.06,0.3641
2.4,3.34,2.89,11,20.07,0.4191
3.09,6.83,4.54,2,3.39,0.4515
2.95,5.32,2.63,1,3.06,0.226
3.77,8.84,8.84,7,18.68,0.7685
3.29,7.56,4.16,10,17.06,0.7076
3.02,5.36,2.85,1,2.03,0.3915
3.5,5.09,3.3,5,9.19,0.486
2.53,2.8,2.14,8,13.26,0.2446
2.88,6.83,2.96,6,21.49,0.5883
2.34,1.47,1.25,2,2.57,0.217
3.69,7.89,4.4,2,2.14,0.5799
2.89,4.95,4.44,5,7.64,0.4858
3.46,5.52,4.49,2,7.08,0.359
2.16,3.81,1.79,4,10.45,0.2497
2.99,6.44,3.73,7,14.81,0.4635
2.62,3.11,1.32,1,2.22,0.1479
2.32,3.7,2.2,2,9.36,0.2302
3.2,4.73,3.63,6,12.2,0.5084
2.8,4.85,3.22,1,4.31,0.2068
3.57,6.57,3.73,13,21.4,0.6806
2.5,5.7,3.38,6,9.44,0.4341
2.49,3.48,2.83,10,18.09,0.3854
2.46,3.48,2.87,2,0.48,0.2421
3.56,7.22,5.95,13,21.62,0.6969
3.47,6.88,3.24,4,8.28,0.4197
3.29,5.28,4.86,6,10.95,0.4231
2.74,4.34,0.67,6,12.32,0.4214
3.36,3.68,3.56,9,11.73,0.6069
3.32,8.41,5.21,4,14.45,0.5479
2.9,6.1,2.64,4,11.47,0.417
3.58,7.92,7.92,9,16.83,0.7119
2.33,2.56,2.79,3,0.43,0.2575
2.86,4.51,3.37,6,10.82,0.2241
3.05,5.77,4.58,10,17.16,0.5556
3.27,3.91,2.41,2,8.94,0.2886
3.03,5.81,3.63,3,4.66,0.3725
3.24,3.62,3.1,4,0.72,0.266
3.47,6.66,4.03,6,16.42,0.5638
3.18,7.03,5.07,1,1.2,0.2722
2.7,5.26,4.12,7,19.86,0.5813
2.45,2.26,2.26,0,0.0,0.0
3.16,4.84,3.06,3,5.72,0.3679
3.16,7.33,3.54,4,11.06,0.4815
2.78,6.33,3.17,8,13.86,0.5088
2.0,2.58,1.07,9,15.07,0.3131
2.85,6.78,4.31,2,4.3,0.4127
2.9,2.8,0.99,2,4.07,0.1962
3.39,7.95,6.1,12,19.77,0.7366
3.02,4.18,4.93,1,3.33,0.4419
2.94,5.8,3.96,5,11.6,0.5017
3.9,9.5,9.5,13,20.0,0.8535
2.22,3.2,1.57,2,1.17,0.1173
3.11,7.41,4.02,10,19.19,0.5926
3.04,4.43,2.99,2,5.01,0.3331
2.65,4.29,1.85,9,17.1,0.4617
2.68,3.43,2.8,12,21.22,0.5077
2.82,6.13,4.2,11,18.68,0.4607
3.4,6.99,6.99,4,14.99,0.5987
3.64,8.2,8.2,5,17.39,0.7018
2.42,3.13,3.8,7,13.58,0.3071
3.15,3.83,5.85,2,3.01,0.3616
3.58,9.68,6.46,5,12.49,0.6654
2.58,2.89,2.89,0,0.0,0.0
2.56,3.42,2.95,7,16.58,0.3558
2.75,4.93,1.78,2,6.57,0.2975
2.85,4.41,3.09,10,18.21,0.4174
3.1,6.44,3.46,7,15.01,0.6337
2.95,4.15,2.84,6,21.61,0.4403
2.9,5.21,4.36,5,16.6,0.5211
3.57,7.49,4.92,9,20.33,0.6966
3.83,9.16,9.16,10,19.32,0.8126
3.0,5.66,4.02,1,5.67,0.2557
3.13,6.29,3.78,8,17.3,0.4652
3.51,6.37,4.35,3,9.69,0.486
2.68,3.62,2.48,5,18.41,0.3541
3.44,6.7,3.15,11,21.13,0.6859
2.35,1.74,1.74,0,0.0,0.0
3.29,3.81,5.1,5,10.83,0.4872
2.95,6.36,2.83,5,8.81,0.4546
2.81,4.14,2.02,5,9.17,0.3395
2.7,3.8,3.91,4,15.32,0.2685
3.07,5.39,4.24,7,20.53,0.593
3.49,7.12,3.84,8,12.81,0.5994
3.27,6.9,4.13,11,17.93,0.5721
3.2,5.99,5.99,8,12.98,0.5585
3.53,5.9,5.36,3,11.29,0.5722
3.28,6.07,3.98,3,10.53,0.4062
2.86,6.05,3.15,7,13.06,0.4769
3.34,4.33,3.65,1,5.58,0.2884
2.4,4.69,3.41,5,7.28,0.2858
2.99,4.81,3.89,6,6.69,0.4114
2.72,2.57,2.68,7,16.25,0.443
2.5,2.48,2.48,0,0.0,0.0
3.09,4.82,2.97,9,17.15,0.4511
3.23,3.2,2.49,6,10.58,0.4888
3.29,6.45,6.45,8,13.91,0.5936
3.75,8.85,4.96,1,3.09,0.4918
2.22,4.88,2.84,7,21.55,0.379
3.26,5.7,4.03,3,10.52,0.5093
3.65,8.24,8.24,10,17.47,0.7422
2.59,2.64,3.33,11,19.56,0.4093
3.35,6.46,3.19,7,12.03,0.6187
2.93,4.63,1.8,3,2.42,0.2099
2.56,2.81,2.81,0,0.0,0.0
2.03,0.16,0.16,0,0.0,0.0
2.84,5.17,2.86,2,8.91,0.2653
3.07,5.33,3.85,10,18.09,0.4881
2.86,3.51,2.1,8,13.13,0.4037
3.26,7.42,3.54,7,14.69,0.5399
2.83,3.18,1.95,1,1.54,0.2067
2.45,2.94,1.97,2,1.83,0.291
2.49,2.94,2.86,7,15.74,0.4304
2.19,2.36,2.22,8,13.02,0.3146
2.47,3.97,1.51,3,5.41,0.2652
2.97,7.68,5.38,4,6.31,0.4174
2.76,4.84,2.56,4,7.54,0.3835
2.71,3.55,3.55,5,8.09,0.3468
3.38,7.09,4.8,9,19.59,0.5935
3.36,6.75,3.76,3,4.07,0.3357
2.74,6.06,3.67,4,7.73,0.4004
2.95,4.87,4.47,3,5.35,0.3523
3.33,6.54,5.44,6,8.15,0.5556
3.48,6.24,4.84,9,15.59,0.6573
2.7,4.99,4.28,7,15.08,0.3774
2.63,4.73,2.17,4,14.01,0.3124
2.24,1.49,1.94,7,12.95,0.3663
2.81,3.72,2.69,4,6.5,0.3212
2.75,4.03,1.36,7,16.38,0.4243
2.53,2.65,2.65,0,0.0,0.0
