project_key,team_size,planned_duration_days,total_tasks,remaining_hard_tasks,remaining_high_priority_tasks,elapsed_time_ratio,task_completion_ratio,overdue_tasks_count,avg_member_kpi,delay_risk_level
JBJCA,7,1790,77,15,29,0.7,0.6103896103896104,0,0.6571428571428571,Low
JBLOGGING,2,449,6,0,2,0.6993318485523385,0.5,0,0.5,High
JBPAPP,28,4299,99,0,0,0.6999302163293789,1.0,0,1.0,Low
JBTM,8,640,85,8,22,0.7,0.6470588235294118,0,0.8957665598290598,Low
JBWS,4,829,38,1,4,0.6996381182147166,0.868421052631579,0,0.9345238095238095,Low
JDF,14,4285,99,5,16,0.6998833138856476,0.797979797979798,0,0.7094017094017094,Low
JDG,16,311,85,12,21,0.6977491961414791,0.7411764705882353,0,0.6796457219251337,Low
JGRP,5,352,78,2,6,0.6988636363636364,0.9102564102564102,0,0.9593333333333334,Low
KFLUXUI,9,70,100,6,1,0.7,0.52,0,0.5840281707853864,Low
KIECLOUD,7,1666,100,0,2,0.6998799519807923,0.98,0,0.8571428571428571,Low
LOGMGR,7,2267,78,3,11,0.6996029995588884,0.8333333333333334,0,0.9845559845559846,Low
LOG,13,50,69,28,24,0.7,0.14492753623188406,0,0.17509157509157508,Low
MCO,11,74,100,1,3,0.6891891891891891,0.46,0,0.550982800982801,Low
MC,1,2005,20,0,0,0.6997506234413965,1.0,0,1.0,Low
MDC,4,469,41,5,8,0.6993603411513859,0.5609756097560976,0,0.5863095238095238,High
MGDAPI,4,514,96,0,4,0.6984435797665369,0.7708333333333334,0,0.9678702570379437,Low
MGDOBR,12,1224,100,0,2,0.6993464052287581,0.98,0,1.0,Low
MGDSR,13,1517,99,0,0,0.6994067237969677,0.9696969696969697,0,1.0,Low
MODCLUSTER,4,505,27,7,12,0.699009900990099,0.5555555555555556,0,0.7638888888888888,High
MSC,3,2456,92,2,1,0.6999185667752443,0.9782608695652174,0,0.9925925925925926,Low
MTA,9,31,100,2,1,0.6774193548387096,0.78,0,0.2862207602339181,Low
NEXUS,3,319,97,6,6,0.6990595611285266,0.9278350515463918,0,0.8689883913764511,Low
NHE,9,137,94,8,8,0.6934306569343066,0.44680851063829785,0,0.20493827160493824,Low
OADP,1,359,1,1,0,0.6991643454038997,0.0,0,0.5,Low
OCMUI,9,107,100,8,11,0.6915887850467289,0.2,2,0.13333333333333333,Low
OCPBUGS,56,27,100,87,32,0.6666666666666666,0.03,4,0.01488095238095238,Low
OCPBUILD,12,1966,62,0,2,0.6998982706002035,0.5967741935483871,0,0.6666666666666666,High
OCPPLAN,13,1066,34,13,18,0.699812382739212,0.3235294117647059,0,0.23076923076923078,High
OCPSTRAT,22,167,47,9,23,0.6946107784431138,0.10638297872340426,0,0.09545454545454546,Low
ODFRFE,4,1486,7,2,4,0.6998654104979811,0.0,0,0.0,High
OKD,7,331,80,5,0,0.6978851963746223,0.4625,0,0.41649413388543827,Low
OPCT,2,650,60,6,7,0.6984615384615385,0.7833333333333333,0,0.9772727272727273,High
OPECO,12,861,99,0,0,0.6991869918699187,0.797979797979798,0,0.9113247863247863,Low
OPNET,1,2301,1,0,0,0.6996957844415471,0.0,0,0.0,Low
OPRUN,12,110,100,0,6,0.7,0.52,0,0.7206559644059644,Low
ORG,2,132,7,0,0,0.696969696969697,1.0,0,1.0,High
OSASINFRA,8,138,81,0,4,0.6956521739130435,0.5308641975308642,0,0.6827686202686203,Low
OSSM,17,47,100,8,18,0.6808510638297872,0.27,0,0.23755199049316697,Low
PD,15,1156,100,0,1,0.6998269896193772,0.75,0,0.8392156862745098,Low
PLANNER,10,2003,99,13,13,0.6999500748876685,0.8181818181818182,0,0.8507660455486542,Low
PLINK,3,3067,100,38,44,0.6997065536354744,0.53,0,0.18596491228070175,High
PODAUTO,5,1223,21,1,4,0.6999182338511856,0.5238095238095238,0,0.44761904761904764,High
QUARKUS,13,38,100,31,70,0.6842105263157895,0.3,0,0.3885780885780886,Low
RAT,5,2396,89,13,2,0.6999165275459098,0.5955056179775281,0,0.5722943722943723,Low
REM3,12,4872,66,5,9,0.6999178981937603,0.8636363636363636,0,0.8845029239766081,Low
REMJMX,7,4067,77,9,12,0.6997787066633883,0.8181818181818182,0,0.9897959183673469,Low
RFE,1,648,2,0,1,0.6990740740740741,0.0,0,0.0,Low
RHBAC,12,284,99,21,26,0.6971830985915493,0.20202020202020202,0,0.4457298474945533,Low
RHBK,2,259,99,1,2,0.6988416988416989,0.8888888888888888,0,1.0,Low
RHDEVDOCS,10,108,95,14,13,0.6944444444444444,0.7157894736842105,0,0.8213804713804714,Low
RHELDOCS,4,425,4,1,0,0.6988235294117647,0.0,0,0.0,High
RHEL,1,120,2,0,0,0.7,0.0,0,0.0,Low
RHIN,16,1658,31,1,3,0.6996381182147166,0.3548387096774194,0,0.3802083333333333,Low
RHOSSTRAT,2,578,2,0,1,0.698961937716263,0.0,0,0.0,Low
RHSSO,13,1225,45,20,24,0.6995918367346938,0.35555555555555557,0,0.4461538461538461,High
RHUICCSP,1,498,6,1,1,0.6987951807228916,0.6666666666666666,0,1.0,Low
RHWA,1,1545,5,0,0,0.6996763754045308,0.0,0,0.0,Low
RUN,10,8,19,2,6,0.625,0.3157894736842105,0,0.33333333333333337,High
SB,2,1501,99,0,32,0.6995336442371752,0.6767676767676768,0,0.8350515463917525,Low
SHIPSTRAT,2,274,9,0,0,0.6970802919708029,0.0,0,0.0,Low
SHRINKRES,8,3558,57,15,20,0.6998313659359191,0.631578947368421,0,0.84375,Low
SKUPPER,6,112,36,18,1,0.6964285714285714,0.2777777777777778,0,0.31031746031746027,High
SRVLOGIC,2,1151,6,3,5,0.6993918331885317,0.0,0,0.0,High
STOR,8,133,78,3,5,0.6992481203007519,0.1794871794871795,0,0.26979166666666665,Low
TACKLE,19,154,90,12,9,0.6948051948051948,0.7222222222222222,2,0.6132585251006304,High
THREESCALE,9,95,100,10,70,0.6947368421052632,0.29,0,0.35555555555555557,Low
USHIFT,8,45,100,63,2,0.6888888888888889,0.19,0,0.3723214285714286,Low
WFCORE,2,2588,2,1,2,0.6997681607418856,0.0,0,0.0,High
WFMP,6,731,56,3,6,0.6990424076607387,0.875,0,0.6400560224089635,Low
WFNC,16,3393,78,8,15,0.6999705275567345,0.8076923076923077,0,0.875,Low
WINDUP,8,153,43,2,2,0.6993464052287581,0.3023255813953488,0,0.35714285714285715,High
WTO,5,775,85,10,19,0.6993548387096774,0.7411764705882353,0,0.8320000000000001,High
