total_projects,total_tasks,hard_tasks,years_at_company,KPI
3,3,3,6.54,0.3949
1,4,4,0.1,0.4798
1,7,2,2.67,0.9055
1,4,0,0.1,0.7051
3,93,91,6.63,0.4135
2,22,17,0.43,0.5275
2,8,4,0.26,0.6017
5,29,13,2.31,0.6768
1,11,1,0.15,0.6955
2,13,0,0.34,0.6607
1,21,9,0.63,0.6016
1,26,2,0.83,0.7364
1,3,3,1.24,0.4542
1,5,0,0.13,0.8603
1,47,11,2.91,0.765
2,7,2,5.3,0.9519
1,3,3,0.1,0.1
2,5,1,3.63,0.6896
1,3,2,1.44,0.7842
2,4,2,0.1,0.3578
2,19,3,1.13,0.8226
1,15,14,0.1,0.2767
1,4,2,0.1,0.7771
1,6,5,0.19,0.2951
2,45,21,1.0,0.6334
1,11,6,0.35,0.6136
1,3,2,2.54,0.4701
1,12,1,0.1,0.8964
1,3,0,0.1,0.6196
1,6,4,1.84,0.4436
1,12,0,0.21,0.9
3,19,17,4.53,0.5604
1,16,3,4.18,0.9511
1,3,1,0.1,0.3285
2,11,9,0.1,0.5206
1,4,1,0.1,0.4013
2,3,2,0.1,0.5399
1,13,1,0.29,0.9713
1,3,2,0.1,0.45
1,5,0,0.93,0.9239
2,10,10,0.11,0.227
1,4,0,0.1,0.8921
4,29,13,2.57,0.742
1,7,0,0.1,0.5
2,29,0,0.27,0.6289
2,11,5,0.24,0.3059
1,3,0,0.1,0.6842
1,9,5,2.54,0.406
1,4,0,0.3,0.8412
1,18,9,0.55,0.5787
2,11,1,0.16,0.9144
1,54,52,2.08,0.3657
1,7,1,0.1,0.6127
1,9,5,3.8,0.4194
1,36,8,2.88,1.0
1,9,0,1.57,0.9
1,5,0,0.1,0.8712
2,5,1,0.1,0.6753
1,9,1,0.24,0.6824
2,6,6,0.1,0.5004
2,13,5,0.11,0.3434
2,15,2,0.63,0.8423
2,17,16,4.39,0.555
3,6,1,3.7,0.8456
2,7,0,0.31,0.867
2,3,3,1.15,0.4578
2,9,1,0.78,0.8884
2,5,2,0.15,0.531
2,5,0,0.16,0.9
1,3,0,0.1,0.5128
1,7,1,0.92,0.5929
2,4,4,0.2,0.0712
5,91,86,3.83,0.5379
1,18,3,0.83,0.8666
7,17,16,4.84,0.4706
1,18,15,0.16,0.4608
4,17,16,9.82,0.4643
2,29,0,0.1,0.7239
1,3,3,0.1,0.5146
2,4,0,0.1,0.4999
2,20,4,4.82,0.9855
2,14,3,0.1,0.6581
1,11,11,0.55,0.5002
1,3,3,0.37,0.5
1,52,28,1.96,0.6877
1,16,14,1.55,0.5359
1,7,2,0.75,0.7658
2,15,5,0.1,0.4759
1,6,0,2.27,0.8356
2,8,5,0.1,0.1855
2,39,1,0.11,0.931
3,4,3,0.25,0.3786
2,6,2,0.31,0.2872
1,5,1,0.1,0.53
1,5,3,0.15,0.6
1,13,0,0.1,0.8897
3,19,5,3.58,0.8352
2,8,8,0.15,0.2527
2,6,0,0.55,0.9267
1,6,1,0.29,0.4085
1,9,0,0.24,0.8058
2,15,15,1.02,0.4031
2,17,3,1.89,0.8559
1,5,0,5.0,0.9128
3,52,49,6.86,0.6917
1,15,3,0.24,0.4331
2,9,1,0.64,0.924
2,9,8,0.1,0.2167
1,5,1,0.1,0.607
3,8,6,4.46,0.5234
1,13,12,0.29,0.2581
1,17,17,4.59,0.5398
5,22,21,9.45,0.5038
1,12,6,1.69,0.7895
1,3,0,0.29,0.9317
1,5,3,1.31,0.1184
1,7,7,0.1,0.564
2,4,4,10.0,0.3807
2,33,16,0.59,0.4542
6,66,47,1.95,0.3587
2,5,1,1.75,0.8004
1,3,1,0.1,0.6538
1,3,3,0.18,0.2333
1,8,7,0.15,0.5287
1,15,4,0.76,0.8703
1,11,9,0.53,0.5597
3,18,4,0.38,0.7258
1,9,7,0.18,0.3641
1,14,14,0.39,0.4723
1,4,0,0.1,0.7938
1,53,45,0.96,0.4478
1,4,4,0.1,0.0737
1,16,16,4.62,0.4877
1,12,12,0.28,0.526
1,17,12,3.83,0.3994
3,4,4,6.08,0.35
2,21,7,1.21,0.8663
1,3,3,0.15,0.4775
1,4,4,0.34,0.465
1,7,0,0.22,0.856
1,5,0,0.2,0.6556
2,9,1,3.81,0.9083
1,5,0,0.35,0.5134
2,5,2,0.75,0.3123
2,14,0,0.19,0.8329
1,5,1,0.1,0.8475
1,4,3,0.12,0.3259
2,14,5,0.1,0.5024
2,9,4,0.1,0.7186
1,7,0,0.1,0.6876
1,9,7,0.24,0.5193
2,5,1,0.13,0.3785
2,7,1,0.1,0.6885
1,7,4,0.1,0.3446
1,24,18,0.6,0.5656
1,3,3,0.15,0.2526
3,17,4,3.82,0.6567
1,3,0,0.57,0.7419
1,4,1,0.17,0.9208
2,7,5,0.1,0.5677
5,127,104,6.83,0.7364
1,3,3,0.96,0.5493
1,9,3,0.16,0.163
3,16,1,0.64,0.8714
2,3,2,1.86,0.5271
2,3,0,0.12,0.7795
2,5,5,0.32,0.5044
1,4,0,0.1,0.5
1,32,30,0.1,0.4543
2,28,4,0.15,0.9059
2,7,3,0.13,0.3517
1,5,1,0.1,0.7155
1,10,9,3.19,0.3815
1,3,0,0.1,0.5
1,45,9,1.2,0.9467
1,12,7,0.25,0.5735
1,16,4,0.82,0.7611
1,5,0,0.1,0.878
2,33,0,0.62,0.7113
1,3,0,0.1,0.7048
2,4,3,0.23,0.1689
2,4,1,0.31,0.9702
1,20,5,1.69,0.4535
5,6,6,10.0,0.5201
1,6,0,0.1,0.4767
3,10,1,0.1,0.7511
1,9,9,2.15,0.4665
1,8,1,0.1,0.8853
1,5,0,0.23,0.5817
3,5,3,6.07,0.3323
1,3,3,0.1,0.1
1,6,1,0.1,0.865
1,5,1,0.22,0.8888
2,3,2,0.1,0.5369
2,6,2,0.1,0.4833
3,27,25,1.27,0.482
1,12,5,4.67,0.7707
1,3,1,0.1,0.7589
1,12,5,4.52,0.8057
6,130,103,7.21,0.7514
4,17,4,3.77,0.6324
3,7,2,0.3,0.4453
2,3,2,0.1,0.5833
1,8,1,0.1,0.6861
1,3,2,0.1,0.5107
2,10,3,4.87,0.6862
1,9,0,0.1,0.9208
1,19,10,0.5,0.5299
1,5,0,0.1,0.8826
2,5,0,0.26,0.8181
1,45,1,2.32,0.8888
1,10,0,0.1,0.5476
3,3,2,0.1,0.6371
1,5,3,0.1,0.1514
1,11,7,0.1,0.1568
1,8,1,0.98,0.7846
1,4,0,0.1,0.7045
1,8,0,0.1,0.9
1,5,2,0.26,0.4553
3,8,8,3.13,0.4962
4,19,7,3.34,0.5338
1,10,4,3.86,0.4272
1,9,6,0.24,0.3243
2,6,2,5.75,0.7333
1,6,0,0.24,0.6141
2,8,8,0.2,0.4745
1,5,4,0.89,0.2455
2,8,5,0.65,0.5755
1,24,24,1.65,0.5363
3,8,4,3.02,0.3333
1,6,5,0.77,0.6141
2,19,10,0.1,0.663
1,3,3,0.24,0.27
1,3,3,1.04,0.5195
2,76,75,2.14,0.5924
1,6,6,2.15,0.2627
1,6,6,0.77,0.5972
2,18,1,0.1,0.9333
2,4,2,0.1,0.6469
7,18,17,4.94,0.5018
4,52,49,6.74,0.5867
1,3,2,0.48,0.8128
1,15,15,0.92,0.4581
1,7,7,1.31,0.4915
5,17,4,4.07,0.65
1,5,2,0.1,0.8
1,22,22,0.1,0.4345
1,14,0,0.32,0.666
2,19,11,0.47,0.608
2,9,1,3.83,0.8778
1,5,0,0.14,0.891
1,5,1,0.11,0.9503
3,27,27,0.54,0.3627
2,16,2,3.11,0.9503
2,6,1,0.1,0.9272
1,15,0,0.1,0.8011
1,23,23,1.69,0.1823
1,4,0,0.2,0.674
1,5,3,0.1,0.4907
1,36,34,2.54,0.4871
1,4,1,0.1,0.6977
2,9,9,3.37,0.5462
1,31,23,0.1,0.6154
2,22,18,0.46,0.468
1,28,0,0.82,0.755
2,8,4,4.94,0.5191
1,7,1,2.05,0.8618
1,38,38,1.96,0.6012
1,8,8,0.19,0.5
1,31,6,0.17,0.8286
1,14,6,0.21,0.2972
1,78,76,1.95,0.5864
1,8,2,1.15,0.2336
1,3,3,0.16,0.2659
1,3,0,0.1,0.7773
3,5,5,0.1,0.0969
1,7,3,0.38,0.6324
1,4,4,0.84,0.5
2,18,9,0.42,0.2323
3,4,0,1.12,0.8404
2,28,3,2.1,0.8411
2,3,3,0.1,0.4739
5,9,5,4.11,0.3056
1,6,0,0.13,0.9532
1,8,5,0.23,0.5942
1,5,3,0.1,0.1987
1,3,0,0.1,0.4928
1,6,2,0.13,0.4442
2,3,2,0.1,0.2801
1,3,2,0.1,0.4859
1,13,12,0.51,0.3669
1,3,0,0.26,0.669
2,9,8,0.1,0.141
1,3,2,0.19,0.4955
2,6,0,0.11,0.7277
2,6,0,3.73,0.8167
1,3,3,0.11,0.5341
2,5,0,0.81,0.8551
2,3,0,0.22,0.4875
2,7,7,1.99,0.516
2,7,2,3.85,0.7327
3,5,2,0.2,0.6231
3,10,2,0.25,0.44
1,5,1,0.16,0.8759
2,15,5,0.23,0.6157
1,6,6,0.15,0.1667
1,12,12,0.43,0.4554
1,7,6,0.1,0.5357
1,11,0,0.22,0.4422
6,65,47,2.05,0.3466
1,5,3,0.12,0.097
1,17,15,0.1,0.5799
2,3,3,0.1,0.2987
1,12,9,0.42,0.5625
1,22,4,1.58,0.4727
3,10,2,0.63,0.7035
1,11,0,0.71,0.8443
2,3,2,0.1,0.4036
1,4,1,0.13,0.9595
1,22,6,0.44,0.7729
1,3,0,0.1,0.6516
1,17,1,0.45,0.748
1,3,3,0.1,0.5055
1,10,8,0.32,0.48
1,11,11,0.21,0.2861
2,3,3,0.96,0.5054
1,31,15,0.55,0.4777
1,9,6,0.91,0.4671
1,8,8,0.26,0.2001
1,6,6,0.1,0.3363
1,19,10,0.6,0.6245
1,13,8,2.0,0.5675
2,8,3,0.1,0.1667
1,27,5,0.1,0.8574
3,9,9,7.2,0.4237
1,5,1,3.95,0.7754
1,3,2,1.79,0.5246
1,16,8,0.31,0.5922
4,58,3,3.83,0.9619
3,32,28,8.8,0.5981
1,6,4,0.62,0.4626
1,5,3,0.8,0.6084
2,6,1,0.33,0.8722
1,4,0,0.25,0.8752
1,3,3,0.41,0.5176
2,8,4,0.1,0.6026
1,54,28,2.02,0.706
1,3,1,0.1,0.5424
2,16,4,0.33,0.5375
2,42,22,0.34,0.7297
1,5,0,0.1,0.82
3,16,4,1.96,0.7914
1,4,1,0.1,0.9326
1,11,3,2.3,0.8262
3,14,5,0.53,0.2865
2,5,5,5.01,0.55
6,20,20,9.28,0.4701
2,32,0,0.91,0.7254
5,26,16,9.44,0.4954
2,19,9,0.29,0.2371
1,4,0,0.1,0.9
1,3,3,0.64,0.5427
3,7,4,0.28,0.2192
2,45,45,0.85,0.5733
1,5,4,0.21,0.087
1,7,6,0.28,0.0302
3,14,12,0.37,0.3953
1,3,1,0.31,0.6653
2,6,1,0.1,0.8641
2,12,0,0.26,0.8778
1,12,1,3.01,0.981
1,5,0,0.22,0.5631
3,3,3,1.34,0.2777
3,8,6,0.34,0.3331
1,20,9,0.61,0.7798
1,3,3,0.94,0.5191
1,8,2,0.1,0.5978
1,5,5,1.26,0.5
1,12,0,0.1,0.6921
1,6,0,0.34,0.4633
2,5,0,0.1,0.5236
1,9,5,0.24,0.3628
1,5,1,3.67,0.6765
2,7,0,0.4,0.504
1,12,0,0.27,0.8274
2,4,3,0.1,0.2625
1,37,0,0.1,0.9043
1,22,22,0.1,0.4711
1,13,3,1.22,0.8835
1,6,4,0.85,0.5311
4,7,7,4.42,0.551
2,11,7,2.2,0.611
1,6,0,0.3,0.6526
2,16,3,0.42,0.7088
1,4,4,0.1,0.5
2,4,2,0.42,0.7046
1,14,14,0.1,0.4843
1,3,1,0.6,0.8246
1,7,0,0.16,0.7916
2,6,5,0.21,0.621
1,17,15,0.25,0.4436
1,4,2,0.1,0.425
1,5,0,0.22,0.66
2,99,98,8.86,0.4425
1,8,8,0.39,0.3899
2,95,89,6.41,0.4435
1,3,0,0.2,0.6347
2,18,10,0.1,0.5415
2,5,4,0.46,0.5231
3,8,0,2.03,0.8221
1,8,8,0.12,0.486
1,3,2,0.18,0.3096
1,10,1,0.29,0.6536
1,16,3,3.99,0.8867
1,6,1,0.22,0.892
1,3,2,0.26,0.1287
2,5,1,0.1,0.6908
3,10,10,6.94,0.4086
3,10,6,2.7,0.2849
2,5,2,0.77,0.4361
1,15,12,1.48,0.4903
2,19,10,0.1,0.2395
1,11,11,0.1,0.4434
2,7,1,0.69,0.8643
1,5,0,0.1,0.8304
1,8,0,0.11,0.5216
1,16,16,0.17,0.4595
2,8,0,0.85,0.672
1,4,4,0.75,0.434
2,3,0,0.25,0.519
1,5,5,0.22,0.5102
2,15,14,3.85,0.4337
2,3,3,6.54,0.4863
1,46,5,1.14,0.8025
1,4,0,0.25,0.9201
1,3,2,0.1,0.1118
1,3,1,0.11,0.8167
2,6,0,0.1,0.9959
2,5,1,0.1,0.8695
2,9,5,0.61,0.5966
2,5,2,1.57,0.0881
2,11,1,0.7,0.8222
2,20,16,0.1,0.4686
1,5,3,1.91,0.36
1,6,1,0.1,0.4468
2,76,76,2.2,0.513
2,5,0,0.15,0.8772
1,4,1,0.23,0.7771
1,10,2,0.1,0.4979
2,4,4,1.95,0.0629
2,22,6,0.65,0.9044
2,11,0,0.1,0.9481
2,48,4,3.79,0.9709
3,8,4,1.28,0.6493
1,18,18,4.03,0.5056
1,4,0,0.14,0.5715
1,5,4,0.16,0.6283
1,19,4,2.0,0.8757
1,5,1,0.1,0.5558
1,3,3,0.1,0.487
1,96,96,4.11,0.5483
